,Unnamed: 0,precio_estimado,precio_venta,fecha,autor,casa_subasta,tipo,tecnica,dimensiones,fecha_creacion,titulo,precio_ajustado,is_inch,height,width
5400,5627," 10,000 - 15,000 EUR "," 14,214 EUR ",2011-04-04, Antonio Seguí,G.E. Kapopoulos Auction House,Contemporary Art Auction, Mixed media on paper/ canvas , 73 Χ 60 cm. , 2007 ,"Μiradas caprichosas by Antonio Seguí, 2007","26,614 USD",0,73.0,60.0
5402,5629," 1,000 - 1,500 USD "," 1,116 USD ",2011-04-09, Jose Antonio Velasquez,Rago Arts and Auction Center,Great Estates Auction, Oil on canvas ," 21"" x 14"" ", 1963 ,"""Catidral Tegucigalpa Honduras, Ca. Ano 1928"" by Jose Antonio Velasquez, 1963","1,469 USD",1,21.0,14.0
5403,5630, 400 - 700 USD , 676 USD ,2011-04-09, Francisco Toledo,New Orleans Auction Galleries,Auction, lithograph in colors ," sheet 21"" x 16"" ", circa 1970 ,"""Caballos"" by Francisco Toledo, circa 1970",890 USD,1,21.0,16.0
5404,5631," 1,000 - 1,500 USD ", 850 USD* ,2011-04-15, René Portocarrero,Sloans & Kenyon,April Estate Catalogue Auction, Pen and ink , 11.5 in. x 8.5 in. , 1944 ,"THE JESTER by René Portocarrero, 1944","1,119 USD",1,11.5,8.5
5405,5632," 1,200 - 1,500 USD ", 950 USD* ,2011-04-15, David Alfaro Siqueiros,Sloans & Kenyon,April Estate Catalogue Auction, Color lithograph , 20.75 in. x 15 in. ,,VISTA AÉREA by David Alfaro Siqueiros,"1,251 USD",1,20.75,15.0
5406,5633," 12,000 - 15,000 USD "," 9,500 USD* ",2011-04-15, René Portocarrero,Sloans & Kenyon,April Estate Catalogue Auction, Oil on canvas , 19 in. x 15.5 in. , 1958 ,"FLORES by René Portocarrero, 1958","12,508 USD",1,19.0,15.5
5407,5634, 400 - 600 USD , 671 USD ,2011-04-17, David Alfaro Siqueiros,Bonhams,SoMa Estate Auction, Lithograph on wove paper , 11.75 x 8.75in , 1945 ,"Nuestra Imagen Actual by David Alfaro Siqueiros, 1945",883 USD,1,11.75,8.75
5408,5635," 700 - 1,000 GBP "," 1,125 GBP ",2011-04-19, Rufino Tamayo,Christie's,"Old Master, Decorative, Modern & Contemporary Prints", lithograph in colours ," L., S. 802 x 598 mm. ", 1975 ,"Uomo con la Lingua Fuori by Rufino Tamayo, 1975","2,416 USD",0,802.0,598.0
5409,5636," 2,500 - 3,500 GBP "," 5,625 GBP ",2011-04-19, Jesus-Rafael Soto,Christie's,"Old Master, Decorative, Modern & Contemporary Prints", screenprints in colours , 715 x 540 mm. (overall) , 1969 ,"Eight works: Vibrations by Jesus-Rafael Soto, 1969","12,083 USD",1,715.0,540.0
5410,5637," 1,000 - 1,500 USD "," 1,920 USD ",2011-04-20, Rufino Tamayo,Doyle New York,"Old Master, Modern & Contemporary Prints", Color lithograph , 27.375 x 20.75 inches , 1969 ,"FEMME AU COLLANT ROSE by Rufino Tamayo, 1969","2,528 USD",1,27.375,20.75
5411,5638," 700 - 1,000 USD "," 1,280 USD ",2011-04-20, Francisco Zuñiga,Doyle New York,"Old Master, Modern & Contemporary Prints", Color lithograph , 18.125 x 25.125 inches , 1982 ,"MADRE DORMIDA by Francisco Zuñiga, 1982","1,685 USD",1,18.125,25.125
5412,5639," 700 - 1,000 USD "," 1,500 USD ",2011-04-20, David Alfaro Siqueiros,Doyle New York,"Old Master, Modern & Contemporary Prints", Lithograph , 34.875 x 26.5 inches , 1956 ,"MADRE NINA by David Alfaro Siqueiros, 1956","1,975 USD",1,34.875,26.5
5413,5640," 1,000 - 1,500 USD "," 1,250 USD ",2011-04-20, Francisco Zuñiga,Doyle New York,"Old Master, Modern & Contemporary Prints", Lithograph , 27 x 21.5 inches , 1974 ,"TRES MUJERES DE PIE, I by Francisco Zuñiga, 1974","1,646 USD",1,27.0,21.5
5414,5641," 30,000 - 40,000 USD "," 37,500 USD ",2011-04-26, Rufino Tamayo,Christie's,Prints & Multiples, etchings in colors , Each S. 290.5 x 210.75 in. (749 x 553 mm.) , 1980 ,"15 works : Untitled by Rufino Tamayo, 1980","49,375 USD",1,290.5,210.75
5415,5642," 4,000 - 6,000 USD "," 5,625 USD ",2011-04-26, Rufino Tamayo,Christie's,Prints & Multiples, Mixografía in colors , S. 43 x 35 in. (1092 x 889 mm.) , 1988 ,"Personajes con Pájaros by Rufino Tamayo, 1988","7,406 USD",1,43.0,35.0
5416,5643," 12,000 - 18,000 USD "," 15,000 USD ",2011-04-26, Rufino Tamayo,Christie's,Prints & Multiples, lithographs in colors and one bronze multiple , 300.75 x 22.875 in. (781 x 581 mm.) , 1973 ,"Eight works : The Mexican Masters Suite by Rufino Tamayo, 1973","19,750 USD",1,300.75,22.875
5417,5644," 12,000 - 18,000 USD "," 21,250 USD ",2011-04-26, Rufino Tamayo,Christie's,Prints & Multiples, Mixographía in colors , S. 590.5 x 980.25 in. (1511 x 2495 mm.) , 1983 ,"Dos Personajes Atacados por Perros by Rufino Tamayo, 1983","27,979 USD",1,590.5,980.25
5418,5645," 5,000 - 7,000 USD "," 6,875 USD ",2011-04-26, Rufino Tamayo,Christie's,Prints & Multiples, Mixografía in colors , L. 340.75 x 37 in. (883 x 940 mm.) S. 370.25 x 390.25... , 1990 ,"Luna y Sol by Rufino Tamayo, 1990","9,052 USD",1,340.75,37.0
5419,5646," 15,000 - 25,000 USD "," 30,000 USD ",2011-04-26, Rufino Tamayo,Christie's,Prints & Multiples, lithographs in colors , 300.75 x 23 in. (781 x 584 mm.) , 1969 ,"Nineteen works : Mujeres by Rufino Tamayo, 1969","39,500 USD",1,300.75,23.0
5420,5647," 2,500 - 3,500 USD "," 2,400 USD ",2011-04-28, Rufino Tamayo,Swann Auction Galleries,Old Master through Modern Prints, Color mixograph , 750x540 mm; 29.5x21.25 inches , 1974 ,"Monólogo by Rufino Tamayo, 1974","3,160 USD",1,750.0,540.0
5421,5648," 2,000 - 3,000 USD "," 2,640 USD ",2011-04-28, Rufino Tamayo,Swann Auction Galleries,Old Master through Modern Prints, Color lithograph , 320x490 mm; 12.625x19.25 inches , 1950 ,"Observador de Pájaros by Rufino Tamayo, 1950","3,476 USD",1,320.0,490.0
5422,5649," 8,000 - 12,000 USD "," 12,000 USD ",2011-04-28, Diego Rivera,Swann Auction Galleries,Old Master through Modern Prints, Lithograph , 422x280 mm; 16.625x11.125 inches , 1930 ,"Desnudo sentado con brazos levantados (Frida Kahlo) by Diego Rivera, 1930","15,800 USD",1,422.0,280.0
5423,5650," 2,500 - 3,500 USD "," 3,120 USD ",2011-04-28, Rufino Tamayo,Swann Auction Galleries,Old Master through Modern Prints, Color aquatint , 760x560 mm; 30x22.25 inches , 1975 ,"Cabeza by Rufino Tamayo, 1975","4,108 USD",1,760.0,560.0
5424,5651," 6,000 - 8,000 USD "," 5,625 USD ",2011-04-29, Francisco Toledo,Sotheby's,Prints , lithographs printed in colors , 15.5 by 20.25 in , 1969-1970 ,"13 works: Caballo y avispas; Hombre, un pescado, una tortuga y pajaros by Francisco Toledo, 1969-1970","7,406 USD",1,15.5,20.25
5425,5652," 5,000 - 6,000 USD "," 11,875 USD ",2011-04-29, Diego Rivera,Sotheby's,Prints , Lithograph on tissue thin tan paper , 23.875 by 15.25 in , 1930 ,"Nude with Long Hair by Diego Rivera, 1930","15,635 USD",1,23.875,15.25
5426,5653," 500 - 1,000 USD ", Results not Available ,2011-04-30, David Alfaro Siqueiros,Kaminski Auctions,Albourne Rancho Estate Auction - Day One, six-color lithograph on Arches paper ," 20"" x 16.5"" ", 1972 ,"Maternity by David Alfaro Siqueiros, 1972",,1,20.0,16.5
5427,5654, 400 - 600 USD , 650 USD ,2011-04-30, Francisco Toledo,Stair Galleries,Modern and Contemporary, Etching in color , 21 x 17 in. ,,IGUANA SUBIENDO ESCALERA by Francisco Toledo,856 USD,1,21.0,17.0
5428,5655, 100 - 300 USD , 650 USD ,2011-04-30, Jesus-Rafael Soto,Stair Galleries,Modern and Contemporary, Serigraph on paper , 32.5 x 23 in. ,,CARONI by Jesus-Rafael Soto,856 USD,1,32.5,23.0
5429,5656," 1,000 - 1,200 EUR "," 1,100 EUR ",2011-05-02, Jesus-Rafael Soto,Cambi Auction House,Modern and Contemporary Art, serigraph in color on perspex , cm 50x62 , 1960s ,"Composizione by Jesus-Rafael Soto, 1960s","2,154 USD",0,50.0,62.0
5430,5657," 1,000 - 1,200 USD "," 1,159 USD ",2011-05-03, Francisco Zuñiga,Bonhams,Prints, Lithograph in colors on wove paper , 22.375 x 29.75in , 1983 ,"Mujer con Olla by Francisco Zuñiga, 1983","1,526 USD",1,22.375,29.75
5431,5658," 2,000 - 3,000 USD "," 2,196 USD ",2011-05-03, Rufino Tamayo,Bonhams,Prints, Lithograph in colors on Rives BFK paper , 22.5 x 29.625in , 1969 ,"Deux Tetes de Femmes, from Mujeres by Rufino Tamayo, 1969","2,891 USD",1,22.5,29.625
5432,5659," 2,000 - 3,000 USD "," 2,318 USD ",2011-05-03, Rufino Tamayo,Bonhams,Prints, Etching in grey and white on Guarro paper , 29 x 22.25in , 1976 ,"Personaje en Gris by Rufino Tamayo, 1976","3,052 USD",1,29.0,22.25
5433,5660," 1,200 - 1,800 USD "," 2,074 USD ",2011-05-03, Rufino Tamayo,Bonhams,Prints, Lithograph in colors on wove paper , 30 x 22.25in , 1980 ,"Hombre en Fondo Verde by Rufino Tamayo, 1980","2,731 USD",1,30.0,22.25
5434,5661," 1,500 - 2,000 USD "," 1,952 USD ",2011-05-03, Rufino Tamayo,Bonhams,Prints, Lithograph in colors on Rives paper , 29.75 x 22.25in , 1969 ,"La Négresse from Mujeres by Rufino Tamayo, 1969","2,570 USD",1,29.75,22.25
5435,5662," 3,000 - 5,000 USD "," 4,270 USD ",2011-05-03, Rufino Tamayo,Bonhams,Prints, Mixografía in colors on Arches paper , 27.5 x 19.75in , 1977 ,"Cara en Rojo (Face in Red) by Rufino Tamayo, 1977","5,622 USD",1,27.5,19.75
5436,5663," 4,000 - 6,000 USD "," 4,636 USD ",2011-05-03, Rufino Tamayo,Bonhams,Prints, Mixografía in colors on handmade paper , 37 x 29.5in , 1982 ,"Perfil con Sombrero by Rufino Tamayo, 1982","6,104 USD",1,37.0,29.5
5437,5664," 2,500 - 3,500 USD "," 5,856 USD ",2011-05-03, Rufino Tamayo,Bonhams,Prints, Lithograph in colors on Arches paper , 31.75 x 47.375in , 1989 ,"La Pareja (Couple) by Rufino Tamayo, 1989","7,710 USD",1,31.75,47.375
5438,5665," 1,000 - 1,200 USD "," 1,464 USD ",2011-05-03, Francisco Zuñiga,Bonhams,Prints, Lithograph in colors on Arches paper , 16.5 x 22.375in , 1972 ,"Cuatro Figuras by Francisco Zuñiga, 1972","1,928 USD",1,16.5,22.375
5439,5666," 2,000 - 3,000 USD "," 2,196 USD ",2011-05-03, Rufino Tamayo,Bonhams,Prints, Lithograph in colors on Rives BFK paper , 29.875 x 22.375in , 1969 ,"Portrait de Femme, from Mujeres by Rufino Tamayo, 1969","2,891 USD",1,29.875,22.375
5440,5667," 2,000 - 3,000 USD "," 2,318 USD ",2011-05-03, Rufino Tamayo,Bonhams,Prints, Lithograph in colors on wove paper , 25.5 x 36in , 1969 ,"Dos Personajes by Rufino Tamayo, 1969","3,052 USD",1,25.5,36.0
5441,5668," 1,500 - 2,500 USD "," 2,196 USD ",2011-05-03, Rufino Tamayo,Bonhams,Prints, Lithograph in colors on Arches paper , 38.25 x 27.5in , 1972 ,"Mujer con sombrero (Woman with Hat) by Rufino Tamayo, 1972","2,891 USD",1,38.25,27.5
5442,5669," 2,500 - 3,000 USD "," 2,684 USD ",2011-05-03, Rufino Tamayo,Bonhams,Prints, Etching in colors on Guarro paper , 21.5 x 29.25in , 1979 ,"Cabeza sobre Fondo Verde by Rufino Tamayo, 1979","3,534 USD",1,21.5,29.25
5443,5670," 2,000 - 3,000 EUR "," 2,682 EUR ",2011-05-03, Antonio Seguí,Tajan,Contemporary Art, pastel on paper , 64.5 x 50 cm , 1978 ,"Sans titre by Antonio Seguí, 1978","5,252 USD",0,64.5,50.0
5444,5671," 800 - 1,200 CAD "," 8,260 CAD ",2011-05-05, Jesus-Rafael Soto,Maynards Fine Art,Canadian & Contemporary Art," painted metal rods, nylon strings, and plexiglass ", 20 in. h. x 6 in. w. x 6 in. d. (50.8 x 15 x... ,,Untitled (from the Jai-Alai series) by Jesus-Rafael Soto,"11,248 USD",1,20.0,6.0
5445,5672," 20,000 - 30,000 USD "," 44,530 USD ",2011-05-09, Francisco Zuñiga,Bonhams,Modern and Contemporary Art, bronze with reddish brown patina , 17 x 10.25 x 9in (43 x 26 x 25cm) , 1969 ,"Evelia sentada by Francisco Zuñiga, 1969","58,631 USD",1,17.0,10.25
5446,5673," 3,000 - 5,000 USD "," 2,440 USD ",2011-05-09, Mariano Rodriguez,Bonhams,Modern and Contemporary Art, oil on canvas board , 11.5 x 15.5in (29.2 x 39.4cm) ,,Untitled (Woman in profile) by Mariano Rodriguez,"3,213 USD",1,11.5,15.5
5448,5675," 6,000 - 8,000 USD "," 7,930 USD ",2011-05-09, Alfredo Ramos Martínez,Bonhams,Modern and Contemporary Art, pastel on paper on board , 38.25 x 27.25in (97.2 x 69.2cm) ,,Florero con hortensias by Alfredo Ramos Martínez,"10,441 USD",1,38.25,27.25
5449,5676," 6,000 - 8,000 USD "," 6,100 USD ",2011-05-09, Francisco Zuñiga,Bonhams,Modern and Contemporary Art, crayon on paper , 19.6875 x 25.5625in (50 x 65cm) , 1964 ,"Two Standing Women by Francisco Zuñiga, 1964","8,032 USD",1,19.687,5.0
5450,5677," 12,000 - 18,000 USD "," 20,740 USD ",2011-05-09, Diego Rivera,Bonhams,Modern and Contemporary Art, watercolor and graphite on paper , 8.875 x 13.125in (22.5 x 33.3cm) , 1956 ,"Chincorro in Acapulco by Diego Rivera, 1956","27,308 USD",1,8.875,13.125
5451,5678," 5,000 - 7,000 USD "," 4,880 USD ",2011-05-09, Francisco Zuñiga,Bonhams,Modern and Contemporary Art, conté crayon on paper , 25.6875 x 19.75in (65.3 x 50cm) , 1965 ,"Dos mujeres conversando by Francisco Zuñiga, 1965","6,425 USD",1,25.687,5.0
5453,5680," 28,000 - 33,000 EUR "," 26,000 EUR* ",2011-05-14, Antonio Seguí,De Vuyst,"Old Masters, Modern & Contemporary Art", Acrylic on canvas ," 113,5 x 146 cm ", 2008 ,"PARA HOMBRES SOLOS by Antonio Seguí, 2008","48,332 USD",0,113.0,5.0
5455,5682," 2,800 - 3,600 EUR "," 2,600 EUR* ",2011-05-14, Antonio Seguí,De Vuyst,"Old Masters, Modern & Contemporary Art", Pastel , 75 x 54 cm , 1977 ,"DEUX HOMMES AVEC CHAPEAUX MARCHANT À GAUCHE by Antonio Seguí, 1977","4,833 USD",0,75.0,54.0
5456,5683," 800 - 1,200 USD ", 976 USD ,2011-05-15, Rufino Tamayo,Hindman,Modern & Contemporary Art, color lithograph , 9.5 x 7 inches ,,Aztlan by Rufino Tamayo,"1,285 USD",1,9.5,7.0
5457,5684," 1,000 - 2,000 USD "," 1,586 USD ",2011-05-15, Rufino Tamayo,Hindman,Modern & Contemporary Art, color lithograph , 27 x 21 inches ,,Mujer en rojo by Rufino Tamayo,"2,088 USD",1,27.0,21.0
5458,5685," 1,000 - 2,000 USD "," 2,196 USD ",2011-05-15, Rufino Tamayo,Hindman,Modern & Contemporary Art, color lithograph , 22.25 x 18 inches , 1964 ,"Ghost by Rufino Tamayo, 1964","2,891 USD",1,22.25,18.0
5459,5686, 500 - 700 USD , 350 USD ,2011-05-14, Francisco Toledo,Ivey-Selkirk,Modernism with Regional Fine Art, color lithograph , 16 x 20 inches ,,Mama Cochino by Francisco Toledo,461 USD,1,16.0,20.0
5460,5687," 1,500 - 2,500 USD "," 1,586 USD ",2011-05-15, Rufino Tamayo,Hindman,Modern & Contemporary Art, color lithograph , 21 x 27.5 inches ,,Medio pescado by Rufino Tamayo,"2,088 USD",1,21.0,27.5
5461,5688," 10,000 - 15,000 USD "," 24,400 USD ",2011-05-15, Diego Rivera,Hindman,Modern & Contemporary Art, watercolor , 23 x 19 inches , 1936 ,"Lady in Profile by Diego Rivera, 1936","32,127 USD",1,23.0,19.0
5462,5689, 500 - 700 USD , 458 USD ,2011-05-15, David Alfaro Siqueiros,Hindman,Modern & Contemporary Art, lithograph , 11.75 x 8.75 inches ,,El guardin de la paz by David Alfaro Siqueiros,603 USD,1,11.75,8.75
5463,5690," 800 - 1,200 USD ", 488 USD ,2011-05-15, Francisco Zuñiga,Hindman,Modern & Contemporary Art, lithograph , 16 x 24.5 inches , 1974 ,"Two Women by Francisco Zuñiga, 1974",643 USD,1,16.0,24.5
5464,5691," 1,500 - 2,500 USD "," 2,318 USD ",2011-05-15, Rufino Tamayo,Hindman,Modern & Contemporary Art, color lithograph , 21 x 27.25 inches ,,La masque rouge by Rufino Tamayo,"3,052 USD",1,21.0,27.25
5465,5692," 800 - 1,200 USD "," 4,148 USD ",2011-05-15, Rufino Tamayo,Hindman,Modern & Contemporary Art, lithograph , 36 x 26 inches ,,Watermelons by Rufino Tamayo,"5,462 USD",1,36.0,26.0
5467,5694," 2,000 - 3,000 USD "," 1,195 USD ",2011-05-17, Cesar Villacres,"Heritage Auctions, Dallas","Signature Fine American, European Art & Western Art", Oil on canvas , 30.25 x 25 inches (76.8 x 63.5 cm) ,,Paris Scene by Cesar Villacres,"1,573 USD",1,30.25,25.0
5468,5695," 7,000 - 10,000 EUR "," 11,250 EUR ",2011-05-19, Jesus-Rafael Soto,"Dorotheum, Vienna",Contemporary Art," multiple, mixed media with metal, plastic, painted ", 39 x 39 x 12 cm , 1979 ,"Cuadrados vibrantes by Jesus-Rafael Soto, 1979","21,109 USD",0,39.0,39.0
5469,5696," 20,000 - 30,000 USD "," 22,515 USD ",2011-05-20, Diego Rivera,"Skinner, Boston",American & European Paintings & Prints, Ink and watercolor on Japan paper , 7.25 x 10.75 in. (18.3 x 27.5 cm) ,,"Niño Recostado con Bulto, S.F. by Diego Rivera","29,645 USD",1,7.25,10.75
5470,5697, 200 - 250 USD , 593 USD ,2011-05-20, David Alfaro Siqueiros,"Skinner, Boston",American & European Paintings & Prints, Lithograph on paper , 11.75 x 9.125 in. (29.8 x 23.0 cm) , 1945 ,"El Guardián de la Paz by David Alfaro Siqueiros, 1945",781 USD,1,11.75,9.125
5471,5698," 1,500 - 2,000 USD "," 2,963 USD ",2011-05-20, Diego Rivera,"Skinner, Boston",American & European Paintings & Prints, Graphite on paper , 5.3125 x 3.75 in. (13.5 x 9.5 cm) ,,Portrait of a Man in Profile by Diego Rivera,"3,901 USD",1,5.312,5.0
5472,5699, 500 - 700 USD , 661 USD ,2011-05-21, Graciela Rodo-Boulanger,Grogan & Company,The May Auction, color intaglio print on rice paper , 24 /34 x 19 inches ,,THREE CHILDREN ON SWINGS by Graciela Rodo-Boulanger,870 USD,1,24.0,34.0
5473,5700," 800 - 1,200 USD "," 1,380 USD ",2011-05-21, Rufino Tamayo,Grogan & Company,The May Auction, color lithograph , 22.5 x 29.75 inches , 1969 ,"FEMME SOURIENTE, from Mujeres Suite by Rufino Tamayo, 1969","1,817 USD",1,22.5,29.75
5474,5701," 1,000 - 1,500 USD "," 1,380 USD ",2011-05-21, Rufino Tamayo,Grogan & Company,The May Auction, color lithograph , 27 x 21 inches , circa 1969 ,"CARNAVALESCA, from Mujeres Suite by Rufino Tamayo, circa 1969","1,817 USD",1,27.0,21.0
5475,5702, 500 - 700 USD , 460 USD ,2011-05-21, David Alfaro Siqueiros,Grogan & Company,The May Auction, color lithographs , 21.5 x 17 inches; 23 x 16 inches , circa 1968 ,"2 works: WOMAN; WOMAN AND CHILDREN, from Mexican Suite by David Alfaro Siqueiros, circa 1968",606 USD,1,21.5,17.0
5476,5703," 800 - 1,200 USD "," 1,150 USD ",2011-05-21, Rufino Tamayo,Grogan & Company,The May Auction, color lithograph , 27 x 21 inches , circa 1969 ,"FEMME AU ROLLANT ROSE, from Mujeres Suite by Rufino Tamayo, circa 1969","1,514 USD",1,27.0,21.0
5477,5704," 800 - 1,200 USD "," 1,380 USD ",2011-05-21, Rufino Tamayo,Grogan & Company,The May Auction, color lithograph , 22.5 x 30 inches , circa 1969 ,"DEUX TETE DE FEMME, from Mujeres Suite by Rufino Tamayo, circa 1969","1,817 USD",1,22.5,30.0
5478,5705," 3,000 - 5,000 USD "," 6,038 USD ",2011-05-21, Rufino Tamayo,Grogan & Company,The May Auction, pencil and crayon , 12 12 x 9.25 inches , 1967 ,"ABSTRACT FIGURE by Rufino Tamayo, 1967","7,950 USD",1,12.0,12.0
5479,5706, 500 - 700 USD , 350 USD ,2011-05-22, Francisco Zuñiga,Morton Kuehnert,Latin American Art followed by The Estate of Edwin Dunnam, Lithograph on heavy paper , 23 x 15.75 inches , 1983 ,"Tres Mujeres de Pie by Francisco Zuñiga, 1983",461 USD,1,23.0,15.75
5481,5708, 200 - 400 USD , 150 USD ,2011-05-22, Francisco Zuñiga,Morton Kuehnert,Latin American Art followed by The Estate of Edwin Dunnam, Lithograph , 16.75 x 25 inches ,,Mujer Dormida by Francisco Zuñiga,198 USD,1,16.75,25.0
5482,5709," 1,000 - 2,000 USD ", 900 USD ,2011-05-22, David Alfaro Siqueiros,Morton Kuehnert,Latin American Art followed by The Estate of Edwin Dunnam, Lithograph , 30.25 x 23 inches ,,Dos Ninos (Two Children) by David Alfaro Siqueiros,"1,185 USD",1,30.25,23.0
5485,5712," 10,000 - 12,000 USD "," 8,000 USD ",2011-05-22, Mariano Rodriguez,Morton Kuehnert,Latin American Art followed by The Estate of Edwin Dunnam, Oil on canvas , 25 x 30 inches , Circa 1950-1960s ,"Untitled (Plantains and Figures) by Mariano Rodriguez, Circa 1950-1960s","10,533 USD",1,25.0,30.0
5488,5715," 2,000 - 3,000 CHF "," 10,000 CHF* ",2011-05-23, Jesus-Rafael Soto,Germann Auctions,"Important Paintings, Sculptures, Watercolors & Drawings ", Silkscreen printed in two colors on acrylic glass cube , 200 x 200 x 200 mm , 1981 ,"Cube with Ambiguous Space by Jesus-Rafael Soto, 1981","14,905 USD",0,200.0,200.0
5489,5716," 6,000 - 8,000 USD "," 5,975 USD ",2011-05-24, Francisco Zuñiga,"Heritage Auctions, Dallas",Signature Modern & Contemporary Art Auction , Charcoal and pastel on paper , 19.75 x 25.625 inches (50.2 x 65.1 cm) , 1967 ,"Mother and Child by Francisco Zuñiga, 1967","7,867 USD",1,19.75,25.625
5490,5717," 4,000 - 6,000 USD "," 2,629 USD ",2011-05-24, Francisco Zuñiga,"Heritage Auctions, Dallas",Signature Modern & Contemporary Art Auction , Crayon and charcoal on paper , 19.75 x 25.75 inches (50.2 x 65.4 cm) , 1964 ,"Seated Male Nude by Francisco Zuñiga, 1964","3,462 USD",1,19.75,25.75
5492,5719," 10,000 - 15,000 USD "," 10,755 USD ",2011-05-24, Francisco Zuñiga,"Heritage Auctions, Dallas",Signature Modern & Contemporary Art Auction , Bronze with brown and green patina , 11 x 9 x 7.5 inches (27.9 x 22.9 x 19.1 cm) , 1962 ,"Desnudo de Victoria by Francisco Zuñiga, 1962","14,161 USD",1,11.0,9.0
5493,5720," 4,000 - 6,000 USD "," 6,250 USD ",2011-05-25, Fidelio Ponce de León,Doyle New York,"European, American, Modern & Contemporary Art", Oil on cardboard , Sheet size 18 x 23.5 inches (45.7 x 60 cm) , circa 1940 ,"Jovencitas Italianos, Estudios by Fidelio Ponce de León, circa 1940","8,229 USD",1,18.0,23.5
5495,5722," 30,000 - 40,000 USD "," 37,500 USD ",2011-05-25, David Alfaro Siqueiros,Sotheby's,Latin American Art, gouache and pyroxilin on masonite , 57.4 by 78.1 cm , 1963 ,"Sin Título by David Alfaro Siqueiros, 1963","49,375 USD",0,57.4,78.1
5496,5723," 10,000 - 15,000 USD "," 10,000 USD ",2011-05-25, Francisco Zuñiga,Sotheby's,Latin American Art, charcoal and pastel on paper , 50 by 70. cm , 1978 ,"Two Women Squatting by Francisco Zuñiga, 1978","13,167 USD",0,50.0,70.0
5499,5726," 12,000 - 18,000 USD "," 22,500 USD ",2011-05-25, Jesus-Rafael Soto,Sotheby's,Latin American Art, painted metal and wood , 27 by 27 by 9 cm , circa 1972 ,"Dos Cuadritos by Jesus-Rafael Soto, circa 1972","29,625 USD",0,27.0,27.0
5500,5727," 20,000 - 30,000 USD "," 22,500 USD ",2011-05-25, Francisco Zuñiga,Sotheby's,Latin American Art, bronze , 32.4 cm , 1977 ,"La Calera by Francisco Zuñiga, 1977","29,625 USD",0,32.4,
5502,5729," 35,000 - 45,000 USD "," 74,500 USD ",2011-05-25, Diego Rivera,Sotheby's,Latin American Art, watercolor on rice paper , 38 by 27.4 cm , 1939 ,"Florence Homolka by Diego Rivera, 1939","98,092 USD",0,38.0,27.4
5504,5731," 20,000 - 25,000 USD "," 25,000 USD ",2011-05-25, Francisco Zuñiga,Sotheby's,Latin American Art," bronze, brown patina ", 30.5 by 28.5 by 32 cm , 1966 ,"Mujer sentada con rebozo by Francisco Zuñiga, 1966","32,917 USD",0,30.5,28.5
5505,5732," 150,000 - 200,000 USD "," 362,500 USD ",2011-05-25, Joaquín Torres García,Sotheby's,Latin American Art, oil on board , 55.5 by 45.5 cm , 1920 ,"Fourteenth Street (Business Town) by Joaquín Torres García, 1920","477,293 USD",0,55.5,45.5
5508,5735," 60,000 - 80,000 USD "," 74,500 USD ",2011-05-25, Joaquín Torres García,Sotheby's,Latin American Art, oil on canvas , 91.5 by 55 cm , 1926 ,"Mujeres by Joaquín Torres García, 1926","98,092 USD",0,91.5,55.0
5511,5738," 20,000 - 25,000 USD "," 37,500 USD ",2011-05-25, Francisco Toledo,Sotheby's,Latin American Art, sterling silver , 26 cm , circa 1979 ,"Benda by Francisco Toledo, circa 1979","49,375 USD",0,26.0,
5512,5739," 10,000 - 15,000 USD "," 11,250 USD ",2011-05-25, Francisco Toledo,Sotheby's,Latin American Art, gouache on paper laid down on canvas paper , 21.6 by 27.5 cm , circa 1965 ,"Mujer y dragón by Francisco Toledo, circa 1965","14,813 USD",0,21.6,27.5
5513,5740," 60,000 - 80,000 USD "," 98,500 USD ",2011-05-25, Tomás Sánchez,Sotheby's,Latin American Art, acrylic on canvas , 69.6 by 54.6 cm , 2010 ,"De frente al Este by Tomás Sánchez, 2010","129,692 USD",0,69.6,54.6
5514,5741," 20,000 - 30,000 USD "," 46,875 USD ",2011-05-25, Rufino Tamayo,Sotheby's,Latin American Art, gouache on paper , 23 by 30 cm , 1926 ,"Untitled by Rufino Tamayo, 1926","61,719 USD",0,23.0,30.0
5515,5742," 60,000 - 75,000 USD "," 56,250 USD ",2011-05-25, Francisco Zuñiga,Sotheby's,Latin American Art, white onyx , 43 by 22.2 by 30.5 cm , 1966 ,"Desnudo de Muchacha by Francisco Zuñiga, 1966","74,063 USD",0,43.0,22.2
5516,5743," 18,000 - 22,000 USD "," 20,000 USD ",2011-05-25, Antonio Seguí,Sotheby's,Latin American Art, oil on canvas , 90.5 by 115.5 cm , circa 1995 ,"Hommes et chien dans la rue by Antonio Seguí, circa 1995","26,333 USD",0,90.5,115.5
5518,5745," 200,000 - 300,000 USD "," 374,500 USD ",2011-05-25, Joaquín Torres García,Sotheby's,Latin American Art, oil on board , 45.7 by 82 cm , 1935 ,"La Guitarra by Joaquín Torres García, 1935","493,093 USD",0,45.7,82.0
5519,5746," 10,000 - 15,000 USD "," 12,500 USD ",2011-05-25, Joaquín Torres García,Sotheby's,Latin American Art, graphite and ink on paper , 13.3 by 10.5 cm , 1935 ,"Untitled by Joaquín Torres García, 1935","16,458 USD",0,13.3,10.5
